"","srvy","common_name","file_name","filter_lat_gt","filter_lat_lt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","term","estimate","std.error","conf.low","conf.high"
"1","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2003","-3.45553366127592","0.8532667879333","-5.12790583482936","-1.78316148772247"
"2","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2004","-3.08854653460877","0.809117744185878","-4.67438817246538","-1.50270489675215"
"3","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2005","-3.1280278538585","0.739313657458673","-4.57705599575608","-1.67899971196091"
"4","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2006","-3.83832428406478","0.864885561888066","-5.53346883611407","-2.14317973201548"
"5","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2007","-4.28617322399074","0.86048694509176","-5.97269664553748","-2.599649802444"
"6","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2008","-4.06951196970338","0.819387614416757","-5.67548218333842","-2.46354175606835"
"7","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2009","-4.47408592914798","0.877663046431254","-6.19427389071495","-2.75389796758102"
"8","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2010","-3.04464899965148","0.71603097437423","-4.44804392124009","-1.64125407806287"
"9","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2011","-3.90600531332215","0.808622099983017","-5.490875506392","-2.32113512025229"
"10","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2012","-3.2199967946853","0.712647047389555","-4.61675934125763","-1.82323424811296"
"11","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2013","-1.64928581240895","0.735736807877363","-3.09130345794904","-0.207268166868852"
"12","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2014","-1.33868156114868","0.607663663278512","-2.52968045588824","-0.147682666409124"
"13","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2015","-2.56873918003359","0.684428277043599","-3.91019395303985","-1.22728440702734"
"14","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2016","-2.92488409884712","0.701735722856365","-4.30026084231077","-1.54950735538346"
"15","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2017","-3.22018724756389","0.730055889947672","-4.65107049856266","-1.78930399656512"
"16","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2018","-3.06959298497486","0.721679786183345","-4.48405937426478","-1.65512659568494"
"17","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2019","-2.66404414572955","0.821486998892277","-4.27412907732631","-1.05395921413279"
"18","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2021","-2.96225101454505","0.708278046861058","-4.3504504774331","-1.574051551657"
"19","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2022","-3.28511702905144","0.769189582745806","-4.79270090851661","-1.77753314958627"
"20","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2023","-4.00940408173694","0.837287626496157","-5.65045767437043","-2.36835048910345"
"21","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","factor(year)2024","-3.19324380505099","0.734791804751393","-4.63340927849891","-1.75307833160308"
"22","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","pass","0.053132447763353","0.23724745384603","-0.411864017198695","0.518128912725401"
