"","X.2","X.1","X","srvy","common_name","file_name","filter_lat_gt","filter_lat_lt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","term","estimate","std.error","conf.low","conf.high"
"1","1","1","1","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","range","1.67005227968335","0.680899135136256","0.751078974791467","3.71342390146111"
"2","2","2","2","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","sigma_O","1.60709344488591","0.411542373295646","0.972896316856272","2.65470152969734"
"3","3","3","3","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","sigma_E","0.000234613131658009","NaN","NaN","NaN"
"4","4","4",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","range","0.125204611142951","NaN","NaN","NaN"
"5","5","5",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","sigma_O","16.6947498548983","NaN","NaN","NaN"
"6","6","6",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","sigma_E","1.83716418510713e-54","NaN","NaN","NaN"
"7","7",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","range","0.849919998979241","0.459060715365043","0.294866301551339","2.449801828369"
"8","8",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","sigma_O","1.64062158805987","0.483097570674701","0.921220394301566","2.9218189391571"
"9","9",NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_2","sigma_E","0.000111503977041825","NaN","NaN","NaN"
"10",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","range","0.206443323407663","NaN","NaN","NaN"
"11",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","sigma_O","12.7944633525755","NaN","NaN","NaN"
"12",NA,NA,NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_3","sigma_E","6.10371011879858e-28","NaN","NaN","NaN"
