"","X.2","X.1","X","srvy","common_name","file_name","filter_lat_gt","filter_lat_lt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","year","est","lwr","upr","log_est","se","type"
"1","1","1","1","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2003","1352676.57199849","141411.293474377","12939093.2186412","14.117595833491","1.15214766856105","index"
"2","2","2","2","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2004","1833038.76679628","141051.635475534","23821284.3775274","14.4214856759688","1.30849565850678","index"
"3","3","3","3","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2005","552998.067324525","34543.2340476548","8852872.95459304","13.223109785606","1.41489477776622","index"
"4","4","4","4","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2006","113739.714872092","7415.25913051297","1744608.31529834","11.6416679140183","1.39307290072417","index"
"5","5","5","5","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2007","631308.173996514","49786.1086755571","8005245.26132498","13.3555494121517","1.29597183945425","index"
"6","6","6","6","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2008","509895.729552994","31451.4527765743","8266507.01521898","13.1419615319405","1.4213327896016","index"
"7","7","7","7","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2009","346692.282088415","23389.1902015274","5138935.44086123","12.7561928703593","1.3756189676011","index"
"8","8","8","8","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2010","8022411.50449304","418382.012025968","153828521.536503","15.8977496209914","1.50696617171035","index"
"9","9","9","9","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2011","7653923.86340094","854219.931129811","68580172.8241762","15.8507289976229","1.11878842912775","index"
"10","10","10","10","CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","2012","629166.324593265","55722.0383764567","7104016.21218238","13.3521509277442","1.23676758203106","index"
