"srvy","common_name","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","year","est","lwr","upr","log_est","se","type"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2021,139172363.226814,114528083.345667,169119626.560739,18.7512237461157,0.0994370954637578,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2022,208591158.527495,173255583.195654,251133444.667738,19.1558867148172,0.0946998488383999,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2023,147188926.794977,121161977.188329,178806756.655866,18.8072275358519,0.099281759550577,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_1",2024,206472767.631057,165792762.949212,257134286.291422,19.1456790857903,0.111956105872011,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_2",2021,143841225.395416,118836006.155517,174107989.595159,18.7842206478074,0.0974332427656187,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_2",2022,215008303.386577,176856984.660434,261389566.343299,19.1861872057489,0.0996626670822573,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_2",2023,146369431.809686,121568744.204977,176229595.101906,18.8016443385757,0.0947231088794029,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_2",2024,188155029.837338,151454473.146003,233748891.780576,19.0527768077707,0.110706716560605,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_3",2021,152160997.545679,126908621.272525,182438111.311424,18.8404497126394,0.0925893772355791,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_3",2022,180586784.7259,149907985.54343,217544026.753603,19.0117220219946,0.0949965353129761,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_3",2023,175496936.741354,143778159.572264,214213166.291914,18.9831321462526,0.101711070555992,"index"
"EBS","walleye pollock","total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","05_3",2024,175238591.606512,141798759.317871,216564405.330194,18.981658983937,0.108032373607114,"index"
